,Date,Constant,Mkt
"296-1",1927-06-27,0.030883242287914302,0.72746970455582449
"297-1",1927-06-28,0.030820221586839218,0.72510685810101516
"298-1",1927-06-29,0.030761221648420642,0.72308772668353649
"299-1",1927-06-30,0.030698961985294648,0.72103644245666054
"300-1",1927-07-01,0.030636657866002996,0.71898647373101499
"301-1",1927-07-02,0.0305759221848429,0.71727169997768825
"302-1",1927-07-05,0.030512272538863874,0.71502998310183052
"303-1",1927-07-06,0.030443971327303008,0.71150358557980342
"304-1",1927-07-07,0.03037140233086786,0.70713526865704046
"305-1",1927-07-08,0.030291981918662485,0.7033301185789621
"306-1",1927-07-09,0.030211010773401385,0.69961674390311968
"307-1",1927-07-11,0.030129076652346095,0.69584954459901915
"308-1",1927-07-12,0.030047656259891635,0.69214990853728608
"309-1",1927-07-13,0.029969293264934492,0.68878200082867258
"310-1",1927-07-14,0.029890463276454081,0.68537263674081839
"311-1",1927-07-15,0.029815001132638509,0.68242834240035377
"312-1",1927-07-16,0.029740039759717229,0.67952685647742828
"313-1",1927-07-18,0.029664214178872435,0.67657990788078892
"314-1",1927-07-19,0.029585966149682851,0.67348959407347209
"315-1",1927-07-20,0.029511583555463641,0.67072971711076501
"316-1",1927-07-21,0.029437144072041982,0.66796161015879196
"317-1",1927-07-22,0.029362627412882522,0.6651945181869211
"318-1",1927-07-23,0.029286797551011035,0.66244901451891525
"319-1",1927-07-25,0.029211305834881691,0.65972241118981478
"320-1",1927-07-26,0.029136870826462546,0.6571382555733708
"321-1",1927-07-27,0.029066711738358217,0.654905568417253
"322-1",1927-07-28,0.028999890426545272,0.65274970085601747
"323-1",1927-07-29,0.028936464918634441,0.6507501435188876
"324-1",1927-07-30,0.028879873620028727,0.64980668092368843
"325-1",1927-08-01,0.028825659592104601,0.6492305794898009
"326-1",1927-08-02,0.028772393235124025,0.64882273309189864
"327-1",1927-08-03,0.028715534219968426,0.64768252716860053
"328-1",1927-08-04,0.028653245497353052,0.64770271807898006
"329-1",1927-08-05,0.028594995224905616,0.64895775960869739
"330-1",1927-08-06,0.028540091206107409,0.64956367721326669
"331-1",1927-08-08,0.02848388442671335,0.65021671142897874
"332-1",1927-08-09,0.028426260010587682,0.65137313666013574
"333-1",1927-08-10,0.028366417374703055,0.65184399605059395
"334-1",1927-08-11,0.028308533555053406,0.65246942418706766
"335-1",1927-08-12,0.028250467321241927,0.65315602753381452
"336-1",1927-08-13,0.028192854682974337,0.65360848572384656
"337-1",1927-08-15,0.02813895073054417,0.65514618642971389
"338-1",1927-08-16,0.028083177335113507,0.6559094261934757
