,Date,Constant,Mkt
"224-1",1964-05-25,0.024309953217698896,1.1054869128677636
"225-1",1964-05-26,0.024311486479762896,1.1059127391310191
"226-1",1964-05-27,0.024312996085126808,1.1063522489189481
"227-1",1964-05-28,0.024314542702155967,1.1067728690191376
"228-1",1964-06-01,0.024316090076202165,1.1071939012363292
"229-1",1964-06-02,0.02431765195938583,1.1075976550133277
"230-1",1964-06-03,0.024319218372574666,1.1079933939119688
"231-1",1964-06-04,0.024320761093662643,1.108410091871288
"232-1",1964-06-05,0.024322186141301785,1.1092391821812688
"233-1",1964-06-08,0.024323660026598148,1.1101380634246862
"234-1",1964-06-09,0.02432519003573708,1.1109491030911696
"235-1",1964-06-10,0.024326626084783108,1.1115811125321291
"236-1",1964-06-11,0.0243281788706219,1.1123600837436403
"237-1",1964-06-12,0.024329736007435345,1.1131434961794002
"238-1",1964-06-15,0.024331248913751442,1.1139615220384198
"239-1",1964-06-16,0.024332764859572857,1.1147842017253013
"240-1",1964-06-17,0.02433428777495638,1.1156189754288535
"241-1",1964-06-18,0.024335812477012699,1.1164568494779139
"242-1",1964-06-19,0.024337296212845954,1.1172947235269743
"243-1",1964-06-22,0.024338788647574792,1.1181355573531788
"244-1",1964-06-23,0.024340277764839741,1.1189735692827123
"245-1",1964-06-24,0.024341831381831366,1.1197281869127289
"246-1",1964-06-25,0.024343290925036468,1.1203707752579126
"247-1",1964-06-26,0.024344847067296498,1.1210790987696166
"248-1",1964-06-29,0.024346411777776852,1.1217950021008878
"249-1",1964-06-30,0.024348163966042058,1.1226257253449787
"250-1",1964-07-01,0.024350017956147274,1.1234668399343735
"251-1",1964-07-02,0.024351747906277164,1.12404628794575
"252-1",1964-07-06,0.024353555133400612,1.1247282798307121
"253-1",1964-07-07,0.024355489861054999,1.1255881368170464
"254-1",1964-07-08,0.024357447974716513,1.1264599293477329
"255-1",1964-07-09,0.02435929611842691,1.1273242384790692
"256-1",1964-07-10,0.024361112270320433,1.1281743969355664
"257-1",1964-07-13,0.024362976454022051,1.1290556065235711
"258-1",1964-07-14,0.024364876008299643,1.1299283917874849
"259-1",1964-07-15,0.024366784596544497,1.1307922630765492
"260-1",1964-07-16,0.024368819206033149,1.1318147844764941
"261-1",1964-07-17,0.024371002831741418,1.1329944832870025
"262-1",1964-07-20,0.024373328790996511,1.1343872680609239
"263-1",1964-07-21,0.024375629148199376,1.1358070570380427
"264-1",1964-07-22,0.024378020774076442,1.1371678435391432
"265-1",1964-07-23,0.024380448740915925,1.1385311030242886
"266-1",1964-07-24,0.024382811858724575,1.139900981924878
"267-1",1964-07-27,0.024385353746239808,1.1412526130437892
"268-1",1964-07-28,0.024387888370097571,1.1426161070795904
"269-1",1964-07-29,0.024390471808537231,1.1439397394251665
"270-1",1964-07-30,0.024393067755243945,1.145268904448695
"271-1",1964-07-31,0.024395665476744745,1.1465988545021626
"272-1",1964-08-03,0.024398336104767823,1.147946168937042
"273-1",1964-08-04,0.024400827463373707,1.1494398736859874
"274-1",1964-08-05,0.024403365131808671,1.1507555265745404
"275-1",1964-08-06,0.024405744988984315,1.1519852676543887
"276-1",1964-08-07,0.024408115197249551,1.1532435709845406
"277-1",1964-08-10,0.024410550497661353,1.1546258999655776
"278-1",1964-08-11,0.024413011517259747,1.1560099791242064
"279-1",1964-08-12,0.02441533872609299,1.1573986111601569
"280-1",1964-08-13,0.024417559336947413,1.1586058947374345
"281-1",1964-08-14,0.024419925496653457,1.1599518416712731
"282-1",1964-08-17,0.024422285389265198,1.1612999209680406
"283-1",1964-08-18,0.024424700945042982,1.1626461063397115
"284-1",1964-08-19,0.024427032138388798,1.1639750692493698
"285-1",1964-08-20,0.024429536407577702,1.1652510324043364
"286-1",1964-08-21,0.024432063264378245,1.1664931798981715
"287-1",1964-08-24,0.024434606943673838,1.1677444854899963
"288-1",1964-08-25,0.024437064475060444,1.1690544142965809
"289-1",1964-08-26,0.024439549028721082,1.1703183718023926
"290-1",1964-08-27,0.024442068115464136,1.1715611796796492
"291-1",1964-08-28,0.024444520494432034,1.1726950412312218
"292-1",1964-08-31,0.024447026856885375,1.1738876795632909
"293-1",1964-09-01,0.024449515856281821,1.1750927241410403
"294-1",1964-09-02,0.024451747676191005,1.175895247246955
"295-1",1964-09-03,0.024453908911401576,1.1766497378237666
"296-1",1964-09-04,0.024456091054334005,1.1774220128988206
"297-1",1964-09-08,0.02445817125555079,1.1781214486128555
"298-1",1964-09-09,0.024460281685820769,1.1788332267572408
"299-1",1964-09-10,0.024462369613849743,1.1795304578738885
"300-1",1964-09-11,0.02446434320707332,1.1801965672886623
"301-1",1964-09-14,0.024466351412951073,1.1809015403669572
"302-1",1964-09-15,0.024468295216723154,1.1816591038124407
"303-1",1964-09-16,0.024470174521003293,1.1824693371501471
"304-1",1964-09-17,0.02447195839263637,1.1831918995548054
"305-1",1964-09-18,0.024473629949168362,1.1836889938838191
"306-1",1964-09-21,0.024475264699522232,1.1842286671223741
"307-1",1964-09-22,0.02447674144504889,1.184553297395234
"308-1",1964-09-23,0.024478235439657367,1.1848802752506173
"309-1",1964-09-24,0.024479873629470603,1.1852121593112441
"310-1",1964-09-25,0.024481578414727846,1.1855667023026668
"311-1",1964-09-28,0.024483376105176653,1.1859844668053414
"312-1",1964-09-29,0.024485145372232463,1.1863954616168881
"313-1",1964-09-30,0.024486970200615393,1.1868045659683817
"314-1",1964-10-01,0.024488859394729508,1.1872071002368747
"315-1",1964-10-02,0.024490899255566898,1.1875378649471084
"316-1",1964-10-05,0.024492955088334049,1.187881672237892
"317-1",1964-10-06,0.024494984675388,1.1881888663757376
"318-1",1964-10-07,0.024497159503523654,1.1885059440954655
"319-1",1964-10-08,0.024499432181178629,1.1888163632050746
"320-1",1964-10-09,0.024501672273571154,1.1891001733878617
